SAMPLE_ID	mutations	gistic	structural_variants
TCGA-B7-5816-01	WXS	WXS	WXS
TCGA-B7-5818-01	WXS	WXS	WXS
TCGA-BR-4183-01	WXS	WXS	WXS
TCGA-BR-4184-01	WXS	WXS	WXS
TCGA-BR-4187-01	WXS	WXS	WXS
TCGA-BR-4188-01	WXS	WXS	WXS
TCGA-BR-4191-01	WXS	WXS	WXS
TCGA-BR-4201-01	WXS	WXS	WXS
TCGA-BR-4253-01	WXS	WXS	WXS
TCGA-BR-4255-01	WXS	WXS	WXS
TCGA-BR-4256-01	WXS	WXS	WXS
TCGA-BR-4257-01	WXS	WXS	WXS
TCGA-BR-4267-01	WXS	WXS	WXS
TCGA-BR-4279-01	WXS	WXS	WXS
TCGA-BR-4280-01	WXS	WXS	WXS
TCGA-BR-4292-01	WXS	WXS	WXS
TCGA-BR-4294-01	WXS	WXS	WXS
TCGA-BR-4357-01	WXS	WXS	WXS
TCGA-BR-4361-01	WXS	WXS	WXS
TCGA-BR-4362-01	WXS	WXS	WXS
TCGA-BR-4363-01	WXS	WXS	WXS
TCGA-BR-4366-01	WXS	WXS	WXS
TCGA-BR-4367-01	WXS	WXS	WXS
TCGA-BR-4368-01	WXS	WXS	WXS
TCGA-BR-4369-01	WXS	WXS	WXS
TCGA-BR-4370-01	WXS	WXS	WXS
TCGA-BR-4371-01	WXS	WXS	WXS
TCGA-BR-6452-01	WXS	WXS	WXS
TCGA-BR-6453-01	WXS	WXS	WXS
TCGA-BR-6454-01	WXS	WXS	WXS
TCGA-BR-6455-01	WXS	WXS	WXS
TCGA-BR-6456-01	WXS	WXS	WXS
TCGA-BR-6457-01	WXS	WXS	WXS
TCGA-BR-6458-01	WXS	WXS	WXS
TCGA-BR-6563-01	WXS	WXS	WXS
TCGA-BR-6564-01	WXS	WXS	WXS
TCGA-BR-6565-01	WXS	WXS	WXS
TCGA-BR-6566-01	WXS	WXS	WXS
TCGA-BR-6705-01	WXS	WXS	WXS
TCGA-BR-6706-01	WXS	WXS	WXS
TCGA-BR-6707-01	WXS	WXS	WXS
TCGA-BR-6710-01	WXS	WXS	WXS
TCGA-BR-6801-01	WXS	WXS	WXS
TCGA-BR-6802-01	WXS	WXS	WXS
TCGA-BR-6803-01	WXS	WXS	WXS
TCGA-BR-6852-01	WXS	WXS	WXS
TCGA-BR-7196-01	WXS	WXS	WXS
TCGA-BR-7197-01	WXS	WXS	WXS
TCGA-BR-7703-01	WXS	WXS	WXS
TCGA-BR-7707-01	WXS	WXS	WXS
TCGA-BR-7715-01	WXS	WXS	WXS
TCGA-BR-7716-01	WXS	WXS	WXS
TCGA-BR-7717-01	WXS	WXS	WXS
TCGA-BR-7722-01	WXS	WXS	WXS
TCGA-BR-7723-01	WXS	WXS	WXS
TCGA-BR-7851-01	WXS	WXS	WXS
TCGA-BR-7901-01	WXS	WXS	WXS
TCGA-BR-7957-01	WXS	WXS	WXS
TCGA-BR-7958-01	WXS	WXS	WXS
TCGA-BR-7959-01	WXS	WXS	WXS
TCGA-BR-8058-01	WXS	WXS	WXS
TCGA-BR-8059-01	WXS	WXS	WXS
TCGA-BR-8077-01	WXS	WXS	WXS
TCGA-BR-8078-01	WXS	WXS	WXS
TCGA-BR-8080-01	WXS	WXS	WXS
TCGA-BR-8081-01	WXS	WXS	WXS
TCGA-BR-8284-01	WXS	WXS	WXS
TCGA-BR-8285-01	WXS	WXS	WXS
TCGA-BR-8286-01	WXS	WXS	WXS
TCGA-BR-8289-01	WXS	WXS	WXS
TCGA-BR-8291-01	WXS	WXS	WXS
TCGA-BR-8295-01	WXS	WXS	WXS
TCGA-BR-8296-01	WXS	WXS	WXS
TCGA-BR-8297-01	WXS	WXS	WXS
TCGA-BR-8360-01	WXS	WXS	WXS
TCGA-BR-8361-01	WXS	WXS	WXS
